Speed,direction,precipitation
3.0864,360,0.091666667
4.1152,330,0.091666667
2.572,340,0.091666667
3.0864,50,0.091666667
2.572,350,0.091666667
1.0288,50,0.091666667
1.0288,10,0.091666667
0.5144,300,0.091666667
0.5144,210,0.091666667
2.0576,210,0.091666667
1.5432,200,0.091666667
2.0576,190,0.091666667
1.5432,220,0.091666667
1.5432,220,0.029166667
1.5432,210,0.029166667
13.3744,290,0.029166667
11.3168,300,0.029166667
10.288,290,0.029166667
14.4032,270,0.029166667
9.2592,280,0.029166667
8.2304,280,0.029166667
10.288,280,0.029166667
10.288,280,0.029166667
11.3168,280,0.029166667
11.3168,280,0.029166667
11.3168,270,0.029166667
13.3744,270,0.029166667
14.4032,280,0.029166667
13.3744,280,0.029166667
11.3168,280,0.029166667
13.3744,280,0.029166667
11.3168,280,0.029166667
10.288,210,0.029166667
9.2592,280,0.029166667
7.2016,280,0.029166667
8.2304,280,0.029166667
10.288,280,0.029166667
9.2592,290,0.033333333
8.2304,290,0.033333333
8.2304,290,0.033333333
8.2304,290,0.033333333
9.2592,290,0.033333333
8.2304,280,0.033333333
8.2304,280,0.033333333
9.2592,280,0.033333333
9.2592,280,0.033333333
12.3456,270,0.033333333
11.3168,270,0.033333333
9.2592,280,0.033333333
10.288,270,0.033333333
10.288,280,0.033333333
10.288,270,0.033333333
10.288,270,0.033333333
7.716,270,0.033333333
7.716,260,0.033333333
7.2016,270,0.033333333
6.1728,280,0.033333333
4.1152,280,0.033333333
6.1728,280,0.033333333
6.1728,270,0.033333333
4.1152,260,0.033333333
4.1152,260,0.058333333
4.1152,270,0.058333333
4.1152,280,0.058333333
3.0864,270,0.058333333
4.1152,270,0.058333333
4.1152,190,0.058333333
3.6008,280,0.058333333
2.572,160,0.058333333
5.144,260,0.058333333
5.144,250,0.058333333
3.0864,210,0.058333333
4.1152,250,0.058333333
2.0576,140,0.058333333
4.1152,120,0.058333333
3.0864,150,0.058333333
3.0864,130,0.058333333
2.0576,120,0.058333333
2.0576,60,0.058333333
2.0576,90,0.058333333
0.5144,110,0.058333333
0.5144,320,0.058333333
0,270,0.058333333
0,290,0.058333333
0,290,0.058333333
0,310,0.145833333
0.5144,360,0.145833333
0.5144,350,0.145833333
0,340,0.145833333
0,340,0.145833333
0,350,0.145833333
0,10,0.145833333
1.0288,20,0.145833333
3.0864,30,0.145833333
2.0576,50,0.145833333
3.0864,50,0.145833333
2.0576,50,0.145833333
1.0288,120,0.145833333
2.0576,170,0.145833333
4.1152,170,0.145833333
3.0864,170,0.145833333
2.0576,180,0.145833333
1.5432,190,0.145833333
0.5144,150,0.145833333
3.0864,260,0.145833333
2.0576,190,0.145833333
1.0288,310,0.145833333
3.0864,350,0.145833333
2.0576,10,0.145833333
4.1152,30,0
4.1152,20,0
3.0864,20,0
3.0864,360,0
2.572,10,0
4.1152,350,0
3.0864,340,0
2.0576,330,0
3.0864,10,0
3.0864,350,0
3.0864,350,0
